               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11925,            0.099411,                   0,                0.02,             0.43321,            0.052455,           0.0078388,             0.10648,             0.11349,                   0,              0.0973,              0.0003,              0.0003
                   1,            0.097766,             0.10278,                   0,             0.12042,             0.26715,            0.083558,            0.014314,             0.12536,            0.092816,                   0,            0.093672,          0.00067228,          0.00067228
                   2,            0.095737,            0.078648,                   0,             0.11413,             0.25271,            0.068838,            0.012358,             0.11585,            0.095504,                   0,            0.090013,           0.0010129,           0.0010129
                   3,            0.095237,            0.076034,                   0,            0.068195,             0.27437,            0.047186,            0.010705,             0.12644,             0.18964,                   0,            0.086322,           0.0013218,           0.0013218
                   4,            0.091679,            0.066347,                   0,            0.040553,             0.31769,            0.023992,             0.00449,             0.13236,             0.22413,                   0,            0.082599,            0.001599,            0.001599
                   5,            0.076258,             0.07434,                   0,            0.056641,             0.28881,            0.034468,            0.006211,             0.13115,             0.22231,                   0,            0.078845,           0.0018446,           0.0018446
                   6,            0.078231,            0.069494,                   0,             0.07348,             0.53791,            0.056104,            0.013268,             0.13023,             0.29421,                   0,            0.075058,           0.0020585,           0.0020585
                   7,            0.080441,             0.07165,                   0,            0.065801,             0.53791,            0.052228,            0.011784,              0.1285,             0.28828,                   0,            0.071241,           0.0022407,           0.0022407
                   8,            0.077733,            0.072951,                   0,            0.063876,             0.64982,            0.058433,            0.017784,             0.12798,             0.37529,                   0,            0.067391,           0.0023912,           0.0023912
                   9,            0.074977,            0.079967,                   0,            0.062032,             0.72563,             0.06275,            0.020349,             0.12486,             0.47652,                   0,             0.06351,             0.00251,             0.00251
                  10,            0.073847,            0.078377,                   0,            0.067911,             0.66787,            0.066128,            0.017961,             0.12323,             0.40318,                   0,            0.059597,           0.0025972,           0.0025972
                  11,            0.072613,            0.078925,                   0,            0.078076,             0.59893,            0.078816,            0.021945,             0.11732,             0.32278,                   0,            0.055653,           0.0026527,           0.0026527
                  12,            0.073142,            0.074969,                   0,            0.067468,             0.57762,            0.062241,            0.016798,             0.11859,             0.31904,                   0,            0.051676,           0.0026765,           0.0026765
                  13,            0.071745,            0.066239,                   0,            0.093845,             0.52708,             0.10345,            0.025294,              0.1109,             0.27237,                   0,            0.047669,           0.0026686,           0.0026686
                  14,            0.067414,             0.07765,                   0,             0.11906,             0.60289,             0.16809,            0.043397,             0.10647,             0.28006,                   0,            0.043629,            0.002629,            0.002629
                  15,            0.063233,            0.077711,                   0,             0.11906,             0.60289,             0.16809,            0.043397,             0.10647,             0.28006,                   0,            0.039558,           0.0025578,           0.0025578
                  16,            0.065082,            0.080024,                   0,             0.14359,             0.62455,             0.18485,            0.052508,              0.1002,             0.26488,                   0,            0.035455,           0.0024549,           0.0024549
                  17,            0.064976,            0.078649,                   0,             0.14598,             0.60289,             0.15504,            0.042686,            0.091314,             0.20551,                   0,             0.03132,           0.0023203,           0.0023203
                  18,            0.059524,            0.073209,                   0,             0.14598,             0.60289,             0.15504,            0.042686,            0.091314,             0.20551,                   0,            0.027154,            0.002154,            0.002154
                  19,            0.064021,            0.077843,                   0,             0.15391,             0.76173,             0.15622,            0.044253,            0.083829,             0.17024,                   0,            0.022956,            0.001956,            0.001956
                  20,            0.061445,            0.061917,                   0,             0.20856,             0.72563,             0.21878,             0.06629,            0.073679,              0.1362,                   0,            0.018726,           0.0017264,           0.0017264
                  21,            0.062075,            0.073679,                   0,             0.20856,             0.72563,             0.21878,             0.06629,            0.073679,              0.1362,                   0,            0.014465,           0.0014651,           0.0014651
                  22,            0.056137,            0.072346,                   0,             0.25152,             0.76791,              0.2632,            0.095547,            0.066805,             0.11465,                   0,            0.010172,           0.0011721,           0.0011721
                  23,            0.057565,            0.070986,                   0,             0.25152,             0.76791,              0.2632,            0.095547,            0.066805,             0.11465,                   0,           0.0058474,           0.0008474,           0.0008474
                  24,            0.055014,            0.071008,                   0,              0.3336,             0.78432,             0.36839,             0.13721,            0.062091,            0.097276,                   0,            0.001491,          0.00049104,          0.00049104
