               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11072,            0.084095,                   0,            0.032956,             0.16606,             0.01566,           0.0035095,             0.11999,            0.073675,                   0,              0.0946,              0.0006,              0.0006
                   1,            0.088325,            0.071193,                   0,            0.042629,             0.38628,            0.028783,           0.0059687,             0.13594,             0.21598,                   0,            0.088249,           0.0012485,           0.0012485
                   2,            0.080373,            0.070831,                   0,            0.035654,             0.45126,             0.02887,            0.006464,             0.13477,             0.53406,                   0,            0.081842,           0.0018416,           0.0018416
                   3,            0.075442,            0.069396,                   0,            0.043515,             0.43682,            0.040186,            0.010484,             0.12529,             0.39166,                   0,            0.075379,           0.0023792,           0.0023792
                   4,            0.070895,            0.063282,                   0,             0.04059,             0.62094,            0.038389,           0.0087943,             0.12252,             0.57562,                   0,            0.068861,           0.0028614,           0.0028614
                   5,            0.069421,            0.069572,                   0,            0.046707,              0.7148,            0.043382,            0.012739,             0.12574,             0.53754,                   0,            0.062288,           0.0032882,           0.0032882
                   6,            0.063902,            0.063347,                   0,            0.064152,             0.51264,            0.053744,            0.016631,             0.12469,              0.2722,                   0,             0.05566,           0.0036595,           0.0036595
                   7,             0.06291,             0.06752,                   0,            0.074454,              0.6426,            0.065749,            0.021397,             0.11757,             0.27483,                   0,            0.048975,           0.0039754,           0.0039754
                   8,               0.062,            0.066742,                   0,             0.11039,             0.68953,             0.10861,            0.033657,             0.10012,             0.23685,                   0,            0.042236,           0.0042358,           0.0042358
                   9,            0.058798,            0.064849,                   0,             0.14454,             0.73285,             0.14691,            0.050755,            0.090557,             0.26624,                   0,            0.035441,           0.0044408,           0.0044408
                  10,            0.059576,            0.072015,                   0,             0.11712,              0.8231,             0.12011,            0.042036,            0.085055,             0.31509,                   0,             0.02859,           0.0045904,           0.0045904
                  11,            0.059511,            0.067858,                   0,             0.18414,             0.55596,             0.17094,            0.045582,            0.085019,             0.17621,                   0,            0.021685,           0.0046845,           0.0046845
                  12,            0.060592,            0.065757,                   0,             0.20961,              0.6065,             0.21557,            0.061075,            0.081869,             0.16064,                   0,            0.014723,           0.0047232,           0.0047232
                  13,            0.060083,            0.067795,                   0,              0.2682,             0.65704,             0.31414,            0.096468,            0.072972,             0.13713,                   0,           0.0077064,           0.0047064,           0.0047064
                  14,            0.057518,            0.070838,                   0,             0.32343,             0.76626,             0.35811,             0.10609,            0.072458,             0.12246,                   0,            0.004456,            0.004456,            0.004456
                  15,            0.056149,            0.064722,                   0,             0.35708,             0.79422,             0.45624,             0.15494,            0.068888,               0.216,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.054588,            0.060781,                   0,             0.35846,             0.72202,             0.41911,             0.14621,            0.068013,             0.12351,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.053117,            0.067518,                   0,             0.47738,             0.71841,              0.5583,             0.20177,             0.05999,            0.090927,                   0,            0.003664,            0.003664,            0.003664
                  18,             0.05048,            0.062424,                   0,             0.60089,             0.80986,             0.70612,             0.25855,            0.058243,            0.077721,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.054522,            0.060343,                   0,              0.7479,             0.83755,             0.83574,             0.32376,            0.058482,            0.073425,                   0,            0.002872,            0.002872,            0.002872
                  20,             0.05101,            0.066473,                   0,             0.68752,             0.80505,             0.79268,             0.28637,            0.057985,            0.072041,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.051317,            0.064382,                   0,             0.75639,             0.86643,             0.79393,             0.32099,            0.051365,             0.07048,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.048393,            0.060225,                   0,             0.84368,             0.87726,             0.87548,             0.33612,            0.049416,            0.067154,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.047159,             0.05963,                   0,             0.89276,             0.87159,             0.93103,             0.35665,            0.052316,            0.065634,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.048568,            0.060241,                   0,             0.92497,             0.88448,             0.94586,             0.39832,            0.050841,            0.065258,                   0,            0.000892,            0.000892,            0.000892
