               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10222,            0.080237,                   0,             0.04728,             0.29964,            0.025746,           0.0047088,             0.11347,             0.10563,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.092819,            0.064525,                   0,            0.046889,             0.54874,            0.039517,            0.010322,             0.13364,             0.41657,                   0,            0.077401,            0.002401,            0.002401
                   2,            0.087512,            0.070234,                   0,             0.02384,             0.49097,            0.018215,           0.0039304,             0.13331,             0.49857,                   0,            0.065499,            0.003499,            0.003499
                   3,            0.083985,            0.071711,                   0,            0.047873,              0.4657,            0.044925,             0.00971,             0.12581,             0.47299,                   0,            0.053494,           0.0044941,           0.0044941
                   4,            0.080152,            0.062203,                   0,            0.039155,             0.32491,            0.034699,           0.0087202,             0.11463,             0.42749,                   0,            0.041386,           0.0053862,           0.0053862
                   5,            0.075732,            0.072282,                   0,            0.054659,             0.48375,            0.070006,            0.017235,             0.10048,             0.45265,                   0,            0.029175,           0.0061754,           0.0061754
                   6,            0.071187,            0.067659,                   0,            0.087116,             0.54874,            0.081331,            0.019619,            0.097999,             0.40234,                   0,            0.016862,           0.0068616,           0.0068616
                   7,            0.071517,            0.069408,                   0,             0.12407,             0.63538,             0.16175,            0.045695,            0.092614,             0.45741,                   0,            0.007228,            0.007228,            0.007228
                   8,            0.070814,            0.069627,                   0,             0.17424,             0.69675,             0.21024,            0.058865,             0.10199,             0.18578,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.067526,            0.065545,                   0,             0.20676,             0.52347,              0.2279,            0.063306,            0.098254,              0.1627,                   0,            0.006832,            0.006832,            0.006832
                  10,             0.07274,            0.072192,                   0,             0.31139,             0.50903,             0.32149,            0.091036,            0.092532,              0.1584,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.066756,            0.070142,                   0,             0.45645,             0.72202,             0.53042,               0.175,            0.078238,             0.10789,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.063332,            0.066817,                   0,              0.4415,             0.78339,             0.46986,             0.15783,            0.082011,             0.10223,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.063255,            0.068884,                   0,             0.51008,             0.75451,             0.52703,             0.16681,            0.077839,            0.086494,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.060835,            0.071217,                   0,             0.48205,             0.73918,             0.54714,              0.1929,            0.061126,            0.080486,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.060162,             0.06631,                   0,             0.53771,             0.78102,             0.62169,              0.2172,             0.05726,            0.077755,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.059355,            0.061776,                   0,             0.81065,             0.80144,             0.84931,             0.35389,            0.054474,            0.067136,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.057271,            0.066725,                   0,               0.753,             0.81949,             0.84558,             0.36731,            0.056106,            0.065753,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.058717,            0.064726,                   0,              0.6217,             0.79061,             0.76364,             0.30469,            0.065055,            0.066071,                   0,            0.003268,            0.003268,            0.003268
                  19,              0.0568,            0.063483,                   0,             0.70984,             0.83394,             0.80181,             0.31515,            0.061064,            0.067369,                   0,            0.002872,            0.002872,            0.002872
                  20,             0.05465,            0.068714,                   0,             0.75407,             0.84477,             0.87116,             0.37445,            0.055196,            0.067732,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.055407,            0.067098,                   0,             0.87132,             0.87004,             0.92133,             0.40446,            0.050221,             0.06483,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.052818,             0.06225,                   0,             0.93753,             0.86643,             0.91073,             0.42397,            0.049594,            0.064299,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.050706,            0.061615,                   0,             0.93775,             0.87015,             0.91363,             0.42603,            0.050028,            0.063821,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.051835,            0.061266,                   0,             0.93817,             0.87726,             0.92047,             0.41078,            0.050377,            0.063293,                   0,            0.000892,            0.000892,            0.000892
