               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12678,            0.095416,                   0,                   0,                   0,                   0,                   0,             0.12332,            0.081628,                   0,              0.0892,              0.0012,              0.0012
                   1,             0.11304,               0.102,                   0,            0.040717,             0.33213,            0.040312,           0.0080615,             0.10304,            0.099498,                   0,            0.077401,            0.002401,            0.002401
                   2,             0.10388,            0.099527,                   0,             0.23317,             0.40072,             0.15794,            0.030876,              0.1058,            0.084117,                   0,            0.065499,            0.003499,            0.003499
                   3,            0.095373,            0.082034,                   0,             0.14879,             0.44765,             0.12914,            0.031831,            0.094456,             0.10469,                   0,            0.053494,           0.0044941,           0.0044941
                   4,            0.088501,            0.069852,                   0,            0.099757,             0.23466,            0.063563,            0.015161,             0.10293,             0.07833,                   0,            0.041386,           0.0053862,           0.0053862
                   5,            0.089778,            0.074052,                   0,             0.19845,             0.44958,             0.15006,            0.038903,             0.10752,            0.075517,                   0,            0.029175,           0.0061754,           0.0061754
                   6,            0.088853,            0.067945,                   0,             0.10207,             0.55235,            0.095399,            0.026217,             0.10219,            0.078506,                   0,            0.016862,           0.0068616,           0.0068616
                   7,            0.089167,            0.070845,                   0,             0.18643,             0.25271,             0.16201,            0.042834,            0.084643,            0.079239,                   0,            0.007228,            0.007228,            0.007228
                   8,            0.084696,            0.070397,                   0,             0.23425,             0.63538,             0.28472,            0.087929,            0.079167,            0.073954,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.081645,            0.069158,                   0,             0.18476,              0.3935,             0.19878,            0.051375,            0.088872,             0.07998,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.076779,             0.07638,                   0,                0.41,              0.6065,             0.48547,             0.16394,            0.075374,            0.077943,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.074922,            0.077378,                   0,             0.26419,              0.6065,             0.34193,             0.11544,            0.068465,            0.073754,                   0,             0.00604,             0.00604,             0.00604
                  12,             0.06966,            0.073809,                   0,             0.37476,              0.6643,             0.39501,             0.12026,            0.068137,            0.074987,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.063141,            0.078534,                   0,             0.33976,             0.66426,             0.41515,             0.13395,            0.071496,            0.086284,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.062462,            0.079825,                   0,             0.32441,              0.6426,             0.43646,              0.1507,            0.068774,            0.082043,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.064416,             0.07256,                   0,             0.51907,             0.79061,             0.60953,              0.1979,            0.057439,            0.075976,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.058406,            0.069668,                   0,             0.63068,             0.77678,             0.67791,             0.20544,            0.054526,            0.076036,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.055855,            0.074495,                   0,             0.60485,             0.74046,             0.70806,             0.27897,            0.051327,            0.074452,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.052831,            0.071841,                   0,             0.49961,             0.72563,             0.51285,             0.16806,            0.054855,             0.07585,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.051221,            0.071307,                   0,             0.55964,             0.73285,             0.65071,             0.25584,            0.049838,            0.074913,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.051055,            0.076533,                   0,             0.70474,             0.84838,             0.80587,             0.32585,            0.043332,             0.07421,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.047661,            0.075237,                   0,             0.68027,             0.82186,             0.76878,             0.27516,            0.045718,            0.074537,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.046708,            0.069783,                   0,              0.6531,             0.84958,             0.79337,             0.33196,            0.044444,            0.073519,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.045485,            0.068676,                   0,             0.89563,             0.88087,             0.90968,             0.40678,            0.039856,             0.07287,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.045018,             0.06871,                   0,             0.86152,             0.87004,             0.90291,             0.39573,            0.039549,            0.072702,                   0,            0.000892,            0.000892,            0.000892
